,UNDER_CONSTRUCTION,RERA,BHK_NO.,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS),POSTED_BY_Builder,POSTED_BY_Dealer,POSTED_BY_Owner,BHK_OR_RK_BHK,BHK_OR_RK_RK
0,0.0,0.0,0.2857142857142857,0.5140239564347305,0.0,0.0,0.21275502135764468,0.610685925273148,0.7400901455345407,0.0,0.0,1.0,1.0,0.0
1,0.0,0.0,0.2857142857142857,0.5040241462980904,0.0,0.0,0.1921776553357772,0.5515541795538894,0.36186770428015563,0.0,1.0,0.0,1.0,0.0
2,0.0,0.0,0.2857142857142857,0.36857150935748745,0.0,0.0,0.20707701985603427,0.6128090995237852,0.22178988326848248,0.0,0.0,1.0,1.0,0.0
3,0.0,1.0,0.2857142857142857,0.36728823713444814,0.0,0.0,0.676530533554649,0.5949650948689396,0.3229571984435798,0.0,1.0,0.0,1.0,0.0
4,0.0,0.0,0.2857142857142857,0.3946640805221533,0.0,0.0,0.4974966895561845,1.0,0.3125810635538262,0.0,1.0,0.0,1.0,0.0
5,0.0,0.0,0.5714285714285714,0.4941180113472633,0.0,0.0,0.12585461354600336,0.529099057978268,0.21660181582360571,0.0,0.0,1.0,1.0,0.0
6,0.0,0.0,0.5714285714285714,0.591219514078312,0.0,0.0,0.6254563364090346,0.4988947318409389,0.3437094682230869,0.0,1.0,0.0,1.0,0.0
7,0.0,1.0,0.5714285714285714,0.46678220867590303,0.0,0.0,0.73860542397887,0.55188880387343,0.26848249027237353,0.0,0.0,1.0,1.0,0.0
8,0.0,1.0,0.2857142857142857,0.41090647776031436,0.0,0.0,0.21524938025721968,0.6154024224939985,0.214526588845655,0.0,1.0,0.0,1.0,0.0
9,0.0,1.0,0.2857142857142857,0.34715886646408034,0.0,0.0,0.2122134899209458,0.7684158586993446,0.185473411154345,0.0,0.0,1.0,1.0,0.0
10,0.0,0.0,0.5714285714285714,0.5338648491227119,0.0,0.0,0.6197709073450957,1.0,0.18028534370946822,0.0,0.0,1.0,1.0,0.0
11,0.0,0.0,0.2857142857142857,0.5270104127659163,0.0,0.0,0.2148391775918907,0.6102757546290105,0.569390402075227,0.0,1.0,0.0,1.0,0.0
12,0.0,0.0,0.2857142857142857,0.36620124075024973,0.0,0.0,0.21275502135764468,0.610685925273148,0.24773022049286642,0.0,0.0,1.0,1.0,0.0
13,0.0,1.0,0.2857142857142857,0.443466733210238,0.0,0.0,0.6749151423197881,0.5986011804082194,0.32036316472114135,0.0,0.0,1.0,1.0,0.0
14,0.0,0.0,0.0,0.2563643336981894,0.0,0.0,0.21468707531950643,0.6093982884105609,0.10246433203631647,0.0,0.0,1.0,1.0,0.0
15,0.0,1.0,0.5714285714285714,0.5512239657463706,0.0,0.0,0.6702367545849366,0.6034755930169391,0.3675745784695201,0.0,1.0,0.0,1.0,0.0
16,0.0,0.0,0.5714285714285714,0.7120865462131302,0.0,0.0,0.4289342821121928,1.0,0.4396887159533074,0.0,0.0,1.0,1.0,0.0
17,0.0,1.0,0.5714285714285714,0.8407918048540726,0.0,0.0,0.21025717061601884,0.608567154790201,0.9325551232166018,0.0,1.0,0.0,1.0,0.0
18,0.0,0.0,0.2857142857142857,0.4346812016422998,0.0,0.0,0.4549343900633775,0.7027990998698836,0.11284046692607004,0.0,0.0,1.0,1.0,0.0
19,0.0,1.0,0.5714285714285714,0.8620909978954536,0.0,0.0,0.21637842891491416,0.611647807376472,0.6212710765239948,0.0,1.0,0.0,1.0,0.0
20,0.0,0.0,0.2857142857142857,0.34796033198066467,0.0,0.0,0.21512503516995146,0.7664949476379608,0.23216601815823606,0.0,0.0,1.0,1.0,0.0
21,0.0,0.0,0.2857142857142857,0.37321636432396005,0.0,0.0,0.37499999999999994,0.3832455898127325,0.21660181582360571,0.0,1.0,0.0,1.0,0.0
22,0.0,1.0,0.5714285714285714,0.5179512563158387,0.0,0.0,0.67244093549171,0.5972635514786173,0.2840466926070039,0.0,1.0,0.0,1.0,0.0
23,0.0,0.0,0.0,0.2484461142013482,0.0,0.0,0.3928077138460296,0.3156086800866209,1.0,0.0,1.0,0.0,1.0,0.0
24,0.0,0.0,0.2857142857142857,0.4821552478694789,0.0,0.0,0.4535106950387316,0.7025160802646813,0.25810635538261995,0.0,1.0,0.0,1.0,0.0
25,0.0,0.0,0.2857142857142857,0.3079388793039496,0.0,0.0,0.4959848403156956,1.0,0.14137483787289234,0.0,0.0,1.0,1.0,0.0
26,0.0,0.0,0.5714285714285714,0.6328039006588447,0.0,0.0,0.67634440061821,0.6004992042825954,0.23735408560311283,0.0,0.0,1.0,1.0,0.0
27,0.0,0.0,0.2857142857142857,0.46654423359597924,0.0,0.0,0.737802507450348,0.551799301946998,0.11750972762645914,0.0,1.0,0.0,1.0,0.0
28,0.0,0.0,0.2857142857142857,0.3950566618389908,0.0,0.0,0.5533602439933512,1.0,0.20103761348897536,0.0,0.0,1.0,1.0,0.0
29,0.0,0.0,0.2857142857142857,0.3950566618389908,0.0,0.0,0.6637438814345624,0.564951247190427,0.06355382619974059,0.0,1.0,0.0,1.0,0.0
30,0.0,0.0,0.5714285714285714,0.5535974970778402,0.0,0.0,0.6695003901985532,0.5963925358494597,0.26848249027237353,0.0,1.0,0.0,1.0,0.0
31,0.0,1.0,0.2857142857142857,0.3725208418299607,0.0,0.0,0.67244093549171,0.5972635514786173,0.16990920881971466,0.0,1.0,0.0,1.0,0.0
32,0.0,0.0,0.2857142857142857,0.4545514747378091,0.0,0.0,0.6156898021522295,0.4416850756561077,0.2840466926070039,0.0,0.0,1.0,1.0,0.0
33,0.0,1.0,0.0,0.3411940102583866,0.0,0.0,0.3965232705231832,0.32322347669643925,0.42412451361867703,0.0,1.0,0.0,1.0,0.0
34,0.0,1.0,0.2857142857142857,0.3387050967842073,0.0,0.0,0.39640194380785726,0.3225331395923652,1.0,0.0,1.0,0.0,1.0,0.0
35,0.0,0.0,0.5714285714285714,0.464086603141231,0.0,0.0,0.2092709027879458,0.7731208192893453,0.2840466926070039,0.0,0.0,1.0,1.0,0.0
36,0.0,1.0,0.2857142857142857,0.40301639343021334,0.0,0.0,0.3793392647695745,0.3727919136653126,0.3359273670557717,0.0,1.0,0.0,1.0,0.0
37,0.0,0.0,0.8571428571428571,0.6526815577873465,0.0,0.0,0.48920690856806887,0.3052961726048684,0.3359273670557717,0.0,0.0,1.0,1.0,0.0
38,0.0,0.0,0.2857142857142857,0.3950566618389908,0.0,0.0,0.3561372763845065,0.9679629777111041,0.18028534370946822,0.0,1.0,0.0,1.0,0.0
39,0.0,0.0,0.5714285714285714,0.5139508868021062,0.0,0.0,0.2105113056968041,0.6076438521728367,0.38780804150453957,0.0,0.0,1.0,1.0,0.0
40,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,0.5595828248954844,0.6616040240016501,1.0,0.0,1.0,0.0,1.0,0.0
41,0.0,1.0,0.2857142857142857,0.41808443461601513,0.0,0.0,0.3775789029058399,0.3712523316709415,0.3359273670557717,0.0,1.0,0.0,1.0,0.0
42,0.0,0.0,0.0,0.15730942301913675,0.0,0.0,0.3776969153304058,0.3840370274989855,0.1543450064850843,0.0,1.0,0.0,1.0,0.0
43,0.0,1.0,0.5714285714285714,0.503994340323005,0.0,0.0,0.5037522062227466,0.9925765036788814,1.0,0.0,1.0,0.0,1.0,0.0
44,0.0,0.0,0.2857142857142857,0.405634054325129,0.0,0.0,0.3916364079811436,0.3171989984467727,1.0,0.0,1.0,0.0,1.0,0.0
45,0.0,0.0,0.2857142857142857,0.45454144299306715,0.0,0.0,0.4316390688831539,0.3192954399667842,0.19584954604409857,0.0,0.0,1.0,1.0,0.0
46,0.0,0.0,0.5714285714285714,0.4743057414456088,0.0,0.0,0.6711633947712092,0.5760407405574224,0.3099870298313878,0.0,0.0,1.0,1.0,0.0
47,0.0,0.0,0.0,0.1870319196204722,0.0,0.0,0.5595828248954844,0.6616040240016501,0.23735408560311283,0.0,1.0,0.0,0.0,1.0
48,0.0,1.0,0.0,0.11844453172719697,0.0,0.0,0.5595828248954844,0.6616040240016501,0.1351491569390402,1.0,0.0,0.0,1.0,0.0
49,0.0,1.0,0.2857142857142857,0.485627038702088,0.0,0.0,0.2090247279233612,0.43995067346012906,0.2664072632944228,0.0,1.0,0.0,1.0,0.0
50,0.0,0.0,0.2857142857142857,0.3895157617003754,0.0,0.0,0.21592919455750836,0.7690660656950339,0.2840466926070039,0.0,0.0,1.0,1.0,0.0
51,0.0,1.0,0.5714285714285714,0.7804311299838158,0.0,0.0,0.6703032771351933,0.5953747072890048,0.37172503242542154,0.0,1.0,0.0,1.0,0.0
52,0.0,1.0,0.0,0.1654786910788171,0.0,0.0,0.39262906765568256,0.31850834402332406,0.6731517509727626,0.0,1.0,0.0,1.0,0.0
53,0.0,0.0,0.5714285714285714,0.5040280326729544,0.0,0.0,0.5756204115567898,0.22576270155145384,0.16731517509727625,0.0,0.0,1.0,1.0,0.0
54,0.0,1.0,0.0,0.15969649207463027,0.0,0.0,0.39845701122230687,0.33322480526973486,0.20570687418936445,0.0,1.0,0.0,1.0,0.0
